employee_id,first_name,last_name,department,sub-department,first_level_manager,second_level_manager,third_level_manager,fourth_level_manager,job_level,salary,hire_date,term_date,term_type,term_reason,active_status
12104572130,Kip,O'Finan,Executive,,None,None,None,,CEO,2468287,28-06-2017,,,,1
3381966,Kate,Maceur,Legal,Intellectual Property,3278383811,1490361837,2591261030,12104572130,Individual Contributor,112274,18-12-2017,,,,1
12868764,Bard,Kenneford,Software,Software Development,7216768130,6279119392,6268712051,12104572130,Individual Contributor,101769,28-03-2012,,,,1
17445638,Saw,Sogg,Marketing,Public Relations,6725256317,2884263685,1949400041,12104572130,Individual Contributor,82641,29-06-2017,03-04-2019,Voluntary,Found a better opportunity,0
19611331,Cullen,Stiell,HR,Benefits,6064345413,8377149542,12104572130,,Team Lead,69487,12-04-2021,,,,1
21007178,Tallie,Sabater,Software,Technical Support,12104572130,,,,Director,135885,14-07-2014,,,,1
22427913,Inglebert,Yesipov,Finance,Auditing,5683220301,6043081030,5400546882,12104572130,Individual Contributor,74509,21-06-2014,16-04-2015,Voluntary,Personal reasons,0
23580165,Ki,Slayton,HR,Training,9152334412,8421163041,12104572130,,Team Lead,74993,04-05-2014,,,,1
26499513,Georgette,Wickersley,Marketing,Marketing Research,6977809316,8464356447,9743222543,12104572130,Individual Contributor,69510,13-04-2018,,,,1
29171485,Rollie,Eynon,Operations,Logistics,4729374587,5502602745,8488156355,12104572130,Individual Contributor,69907,25-07-2017,,,,1
30289155,Elton,Wyse,Sales,Sales Operations,231906979,1217153229,8057668487,12104572130,Individual Contributor,82943,05-03-2020,,,,1
31934668,Dredi,Zellmer,Operations,Supply Chain,2173035137,8495424892,12104572130,,Team Lead,81815,08-10-2019,,,,1
32116881,Darrin,Tommaseo,R&D,Prototyping,4924352810,5325728346,9928084959,12104572130,Individual Contributor,86393,04-11-2017,,,,1
32364108,Aguistin,Loghan,R&D,Product Design,3878476132,6611224171,3314524903,12104572130,Individual Contributor,71835,24-01-2013,,,,1
35687445,Lodovico,Corcut,Administration,Executive Assistants,4837787854,1133455702,7922516714,12104572130,Individual Contributor,66768,18-05-2018,,,,1
37230325,Deina,Muckloe,Finance,Auditing,3049965686,1672001344,8996729135,12104572130,Individual Contributor,83095,10-08-2015,,,,1
40464738,Whit,Duval,Marketing,Public Relations,784584731,1855812703,4092540016,12104572130,Individual Contributor,88618,10-08-2012,,,,1
44493250,Arleta,Surr,R&D,Prototyping,3792599203,12104572130,,,Manager,101906,13-03-2020,,,,1
44644874,Shaun,Pregal,Finance,Financial Planning,7409078933,3905225288,8996729135,12104572130,Individual Contributor,85009,17-08-2013,,,,1
45467219,Randolf,Celle,Customer Service,Customer Support,9657388599,12104572130,,,Manager,84020,19-12-2014,26-11-2015,Voluntary,More flexible benefits,0
55540612,Finn,Lashmore,HR,Benefits,1358690858,4348267022,2874824995,12104572130,Individual Contributor,75469,07-03-2013,,,,1
56138933,Rodrick,Tremethack,Administration,Executive Assistants,503182592,1133455702,1055389029,12104572130,Individual Contributor,69889,14-03-2021,,,,1
62026776,Hakeem,Clemes,Marketing,Marketing Research,4227611998,2448499492,9743222543,12104572130,Individual Contributor,63546,07-04-2021,,,,1
62484857,Lazaro,Choake,Marketing,Public Relations,285196675,1670871353,1949400041,12104572130,Individual Contributor,64798,08-06-2019,,,,1
70389749,Ogdan,Alvarez,HR,Benefits,23580165,8855479112,302887809,12104572130,Individual Contributor,66678,05-06-2015,,,,1
78186009,Keary,Bellin,Legal,Corporate Law,4249218150,8808926609,6102968019,12104572130,Individual Contributor,112014,24-11-2014,,,,1
80336177,Marijn,Klehn,Sales,Business Development,8561534894,2533628457,8057668487,12104572130,Individual Contributor,64901,16-12-2017,,,,1
81223024,Alisun,Simants,Sales,Sales Operations,5701309242,12104572130,,,Manager,97290,11-07-2014,,,,1
82383276,Lucia,Plunkett,HR,Benefits,7064415887,1966624945,8377149542,12104572130,Individual Contributor,62603,11-08-2019,,,,1
90363811,Raddy,Abdon,Finance,Auditing,12104572130,,,,Director,102571,23-06-2018,04-06-2020,Voluntary,Found a better opportunity,0
91052068,Felice,Fripps,Operations,Logistics,8375539146,12104572130,,,Manager,69797,03-02-2020,,,,1
91664331,Brantley,Speck,Operations,Supply Chain,6117579543,7406542888,9843016922,12104572130,Individual Contributor,65475,27-10-2012,17-09-2013,Voluntary,Found a better opportunity,0
96741225,Wolfy,Scott,Product Development,Product Management,4216091555,4889803209,765808111,12104572130,Individual Contributor,82289,08-08-2014,,,,1
